device_id,id,name,coordinates,precise
OR350062,184,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
OR350062,185,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OR350062,186,"Hong Kong, New Territories ","[113.967598, 22.45147]",1
OR350062,187,"Taiwan, Keelung City area, Unverified location ","[121.74130911097258, 25.12806534185235]",0
OR350062,188,"Taiwan, Longjing District ","[120.549028, 24.177561]",1
OR350062,189,"Taiwan, Liuying District ","[120.352853, 23.284257]",1
OR350062,190,"Taiwan, Longling District","[120.549053, 24.177365]",1
NV356143,191,Goodwill - Las Vegas (Dell Reconnect location),"[-115.10299585638576, 36.09908045887009]",1
NV356143,192,Goodwill - North Las Vegas (Dell Reconnect location) ,"[-115.28784429999818, 36.28590153424602]",0
NV356143,193,"Unverified location, Poway, CA ","[-117.03479732611633, 32.96305685790815]",0
NV356143,194,Golden Valley Trading ,"[-117.690472, 34.001151]",1
NV356143,195,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
NV356143,196,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
NV356143,197,"Hong Kong, New Territories, Unverified location, Un ","[114.016853, 22.429514]",0
NV356143,198,"Hong Kong, New Territories ","[113.967369, 22.451292]",1
OH161584,199,Goodwill Easterseals - Wapakoneta - (Dell Reconnect location),"[-84.17872806089301, 40.5662581326352]",0
OH161584,200,J&D Recyclers ,"[-84.15207294763039, 40.29420300137717]",1
OH161584,201,"Unverified location, Dayton, OH ","[-84.18912493333492, 39.75633488800754]",0
OH161584,202,"Goodwill Auto Auction site, Dayton, OH ","[-84.19759904573898, 39.83403941024599]",1
OH161584,203,"Unverified location, Groveport, OH ","[-82.89095697619345, 39.853515177621944]",0
OH161584,204,"Unverified location, Commerce, CA ","[-118.15865014486205, 34.000414089838]",0
OH161584,205,"Unverified location, San Diego, CA","[-117.13650531987527, 32.71673099627898]",0
OH161584,206,Golden Valley Trading ,"[-117.690472, 34.001151]",1
OH161584,207,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
OH161584,208,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH161584,209,"Hong Kong, New Territories ","[113.990091, 22.469679]",1
OH161584,210,"Hong Kong, New Territories ","[114.025677, 22.445332]",1
